 (1.104560256004333496e+00+0.000000000000000000e+00j), (9.544337391853332520e-01+0.000000000000000000e+00j), (1.126222610473632812e+00+0.000000000000000000e+00j), (1.110464692115783691e+00+0.000000000000000000e+00j), (1.398577332496643066e+00+0.000000000000000000e+00j), (9.274443387985229492e-01+0.000000000000000000e+00j), (1.309096932411193848e+00+0.000000000000000000e+00j), (4.323134124279022217e-01+0.000000000000000000e+00j), (9.013274908065795898e-01+0.000000000000000000e+00j), (1.317868232727050781e+00+0.000000000000000000e+00j)
 (1.059537529945373535e+00+0.000000000000000000e+00j), (9.621904492378234863e-01+0.000000000000000000e+00j), (7.886237502098083496e-01+0.000000000000000000e+00j), (9.693601727485656738e-01+0.000000000000000000e+00j), (8.222128152847290039e-01+0.000000000000000000e+00j), (6.955144405364990234e-01+0.000000000000000000e+00j), (9.966976642608642578e-01+0.000000000000000000e+00j), (1.089106440544128418e+00+0.000000000000000000e+00j), (1.146118283271789551e+00+0.000000000000000000e+00j), (1.149070858955383301e+00+0.000000000000000000e+00j)
 (7.623600363731384277e-01+0.000000000000000000e+00j), (7.475657463073730469e-01+0.000000000000000000e+00j), (1.048402547836303711e+00+0.000000000000000000e+00j), (1.012586951255798340e+00+0.000000000000000000e+00j), (1.140374422073364258e+00+0.000000000000000000e+00j), (1.128663539886474609e+00+0.000000000000000000e+00j), (1.153667449951171875e+00+0.000000000000000000e+00j), (1.089726328849792480e+00+0.000000000000000000e+00j), (9.865368008613586426e-01+0.000000000000000000e+00j), (8.373203277587890625e-01+0.000000000000000000e+00j)
 (8.679608702659606934e-01+0.000000000000000000e+00j), (1.187425851821899414e+00+0.000000000000000000e+00j), (9.047059416770935059e-01+0.000000000000000000e+00j), (9.200190305709838867e-01+0.000000000000000000e+00j), (8.914297819137573242e-01+0.000000000000000000e+00j), (8.893480896949768066e-01+0.000000000000000000e+00j), (7.627598047256469727e-01+0.000000000000000000e+00j), (1.097128272056579590e+00+0.000000000000000000e+00j), (8.791108131408691406e-01+0.000000000000000000e+00j), (8.560723662376403809e-01+0.000000000000000000e+00j)
 (1.205762982368469238e+00+0.000000000000000000e+00j), (1.080014824867248535e+00+0.000000000000000000e+00j), (6.647224426269531250e-01+0.000000000000000000e+00j), (1.289761543273925781e+00+0.000000000000000000e+00j), (1.093476891517639160e+00+0.000000000000000000e+00j), (1.011442780494689941e+00+0.000000000000000000e+00j), (1.013690948486328125e+00+0.000000000000000000e+00j), (7.456297278404235840e-01+0.000000000000000000e+00j), (7.249237895011901855e-01+0.000000000000000000e+00j), (1.047237515449523926e+00+0.000000000000000000e+00j)
 (5.539527535438537598e-01+0.000000000000000000e+00j), (1.327607512474060059e+00+0.000000000000000000e+00j), (1.014357805252075195e+00+0.000000000000000000e+00j), (8.379850983619689941e-01+0.000000000000000000e+00j), (8.945125937461853027e-01+0.000000000000000000e+00j), (1.097613453865051270e+00+0.000000000000000000e+00j), (9.283650517463684082e-01+0.000000000000000000e+00j), (1.078512787818908691e+00+0.000000000000000000e+00j), (6.123112440109252930e-01+0.000000000000000000e+00j), (1.283413171768188477e+00+0.000000000000000000e+00j)
 (9.818396568298339844e-01+0.000000000000000000e+00j), (1.223244428634643555e+00+0.000000000000000000e+00j), (7.956964373588562012e-01+0.000000000000000000e+00j), (9.955523610115051270e-01+0.000000000000000000e+00j), (1.331997871398925781e+00+0.000000000000000000e+00j), (1.057324647903442383e+00+0.000000000000000000e+00j), (1.147189021110534668e+00+0.000000000000000000e+00j), (8.985820412635803223e-01+0.000000000000000000e+00j), (9.297648668289184570e-01+0.000000000000000000e+00j), (1.135840177536010742e+00+0.000000000000000000e+00j)
 (8.933749794960021973e-01+0.000000000000000000e+00j), (1.147817850112915039e+00+0.000000000000000000e+00j), (1.145474672317504883e+00+0.000000000000000000e+00j), (1.256954312324523926e+00+0.000000000000000000e+00j), (9.246057271957397461e-01+0.000000000000000000e+00j), (3.547642827033996582e-01+0.000000000000000000e+00j), (8.311128020286560059e-01+0.000000000000000000e+00j), (1.061326742172241211e+00+0.000000000000000000e+00j), (1.098180413246154785e+00+0.000000000000000000e+00j), (1.005695581436157227e+00+0.000000000000000000e+00j)
 (8.866236209869384766e-01+0.000000000000000000e+00j), (8.068196177482604980e-01+0.000000000000000000e+00j), (1.019632101058959961e+00+0.000000000000000000e+00j), (1.191330075263977051e+00+0.000000000000000000e+00j), (1.309144854545593262e+00+0.000000000000000000e+00j), (8.973582983016967773e-01+0.000000000000000000e+00j), (1.059414744377136230e+00+0.000000000000000000e+00j), (9.911015033721923828e-01+0.000000000000000000e+00j), (9.477799534797668457e-01+0.000000000000000000e+00j), (1.361070990562438965e+00+0.000000000000000000e+00j)
 (9.778264164924621582e-01+0.000000000000000000e+00j), (7.678844332695007324e-01+0.000000000000000000e+00j), (1.286052584648132324e+00+0.000000000000000000e+00j), (1.409986734390258789e+00+0.000000000000000000e+00j), (1.434356689453125000e+00+0.000000000000000000e+00j), (8.165178894996643066e-01+0.000000000000000000e+00j), (1.121422529220581055e+00+0.000000000000000000e+00j), (1.491319179534912109e+00+0.000000000000000000e+00j), (1.082141518592834473e+00+0.000000000000000000e+00j), (1.472895145416259766e+00+0.000000000000000000e+00j)
